Subject,Occasion,FileName,FrameIndex,StartSample,EndSampleExclusive,FrameLengthSamples,IsFinalPartialFrame,FrameStatus,Alpha_Ratio_dB,CPPS_dB,H1_H2_dB,SFR_percent,SPR_dB,Spectral_Centroid_Hz,Y_Q_value,H1_H2_valid,SFR_valid,Y_Q_valid,Y_Q_status,Comment
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,25,51200,53248,2048,False,analyzed_full_frame,8.086404703,12.022916,8.029626,15.6134409377,-18.3357798218,1758.48264786,6.54781610567,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,26,53248,55296,2048,False,analyzed_full_frame,4.527923447,13.536542,5.155673,20.7969271772,-10.356622415,2023.827459,11.5044570325,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,27,55296,57344,2048,False,analyzed_full_frame,-0.7419799003,14.067253,-0.271492,24.1038620263,-10.2343303157,2535.52796732,6.33274033753,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,28,57344,59392,2048,False,analyzed_full_frame,8.019828305,12.156337,9.34007,14.2135701491,-21.1174946095,1760.10141197,4.39606067401,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,29,59392,61440,2048,False,analyzed_full_frame,0.919054282,12.677827,2.218975,15.4265014022,-20.3431987856,1862.40178507,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,30,61440,63488,2048,False,analyzed_full_frame,-0.7915145379,12.547538,-0.153929,24.1360037055,-7.30771048873,2177.87318773,6.75277249275,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,31,63488,65536,2048,False,analyzed_full_frame,3.144175824,10.651689,4.473603,22.1196257152,-9.44070571103,2044.81770713,19.1661288963,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,32,65536,67584,2048,False,analyzed_full_frame,4.72277454,12.086614,5.011168,19.988315369,-14.5375842156,1809.38437271,8.20817590314,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,33,67584,69632,2048,False,analyzed_full_frame,9.553822432,12.008569,12.852199,18.1689120168,-20.8267387812,1945.68900457,7.4446596012,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,34,69632,71680,2048,False,analyzed_full_frame,7.093260777,10.409039,6.357251,11.7275218821,-22.8081763067,1732.06751205,,True,True,False,no_valid_Q,
