Subject,Occasion,FileName,OriginalTotalSamples,FullFramesAnalyzed,SkippedFinalPartialSamples,Alpha_Ratio_dB_N_valid,Alpha_Ratio_dB_Median,CPPS_dB_N_valid,CPPS_dB_Median,H1_H2_dB_N_valid,H1_H2_dB_Median,SFR_percent_N_valid,SFR_percent_Median,SPR_dB_N_valid,SPR_dB_Median,Spectral_Centroid_Hz_N_valid,Spectral_Centroid_Hz_Median,Y_Q_value_N_valid,Y_Q_value_Median
V02,Z2,V02after_20240524_tanto_tanto_02_mono.wav,107959,52,1463,52,3.5881014665,52,11.1098305,52,3.998855,52,15.1109547906,52,-16.3918111167,52,1590.85089072,38,14.0373052861
V03,Z1,V03before_20170508_tanto_tanto_02_mono.wav,126838,61,1910,61,-2.111044887,61,12.268976,59,-3.248756,61,18.6024405622,61,-17.3079421543,61,1996.0557272,40,11.121215761
V03,Z2,V03after_20190407_tanto_tanto_02_mono.wav,104143,50,1743,50,-0.39587387975,50,13.0650175,50,-1.3798525,50,17.3466158715,50,-19.3791626918,50,1918.73250601,26,8.85136357564
V04,Z1,V04before_20180730_tanto_tanto_02_mono.wav,103537,50,1137,50,5.112134371,50,12.746605,50,4.505908,50,26.8628742185,50,-13.9251967456,50,1899.46571621,45,22.0309276622
V04,Z2,V04after_20200706_tanto_tanto_02_mono.wav,155763,76,115,76,-0.8818468251,76,12.3425495,76,1.1578555,76,23.8077158454,76,-16.4809471476,76,1915.02262151,70,13.9626326682
V05,Z1,V05before_20220420_tanto_tanto_02_mono.wav,97429,47,1173,47,-3.703497215,47,12.323443,47,-3.949172,47,29.9613871562,47,-11.6946855688,47,2141.01608962,41,28.7549953239
V05,Z2,V05after_20240502_tanto_tanto_02_mono.wav,96822,47,566,47,-2.192674807,47,11.538184,47,-4.022057,47,22.5871784446,47,-15.7086136378,47,1857.52712944,43,25.0450170996
V06,Z1,V06before_20220530_tanto_tanto_02_mono.wav,156039,76,391,76,3.749169947,76,9.057528,73,1.307601,76,10.2359947256,76,-24.3271076067,76,1591.87070389,45,17.0913572414
V06,Z2,V06after_20240618_tanto_tanto_02_mono.wav,102338,49,1986,49,-0.7155351566,49,11.005488,49,-0.811207,49,13.1991096064,49,-21.650151047,49,1565.9789593,37,15.5973714787
V07,Z1,V07before_20180730_tanto_tanto_02_mono.wav,108751,53,207,53,1.975805377,53,12.039669,53,0.775649,53,27.2983022861,53,-12.4885668191,53,1891.70313481,49,28.1373536575
V07,Z2,V07after_20200629_tnto_tanto_02_mono.wav,109903,53,1359,53,5.76861815,53,11.583336,53,4.650529,53,19.2850436576,53,-18.6024390409,53,1582.67698414,49,16.6994856774
V08,Z1,V08before_20220420_tanto_tanto_01_mono.wav,95652,46,1444,46,-1.529887609,46,12.151653,46,0.5594655,46,32.9769747523,46,-7.76715813522,46,2146.16330028,41,16.0079052845
V08,Z2,V08after_20240422_tanto_tanto_02_mono.wav,99790,48,1486,48,2.649254524,48,10.513059,47,3.42197,48,18.1871535979,48,-16.8692651308,48,1700.15461057,38,24.1762133401
V09,Z1,V09before_20170526_tanto_tanto_02_mono.wav,128682,62,1706,62,-3.821808819,62,11.2390965,62,-4.300509,62,6.97945951213,62,-28.201015119,62,1395.67907628,17,31.8814862267
V09,Z2,V09after_20190508_tanto_tanto_02_mono.wav,140723,68,1459,68,1.8372328345,68,11.9724705,68,-0.7338175,68,14.9101773779,68,-19.5328587548,68,1598.02241942,39,15.09070734
V10,Z1,V10before_20220420_tanto_tanto_02_mono.wav,92417,45,257,45,2.000148138,45,11.735338,44,0.116712,45,11.9241289982,45,-21.3749955405,45,1626.24338215,15,27.8692843068
V10,Z2,V10after_20240501_tanto_tanto_02_mono.wav,95747,46,1539,46,-7.1585168385,46,11.73086,46,-6.885701,46,13.1209008929,46,-21.4237302317,46,1805.9501009,22,11.3855507879
V11,Z1,V11before_20220420_tanto_tanto_02_mono.wav,108063,52,1567,52,1.4024131275,52,11.382121,52,0.646796,52,19.8382126721,52,-16.7481716715,52,1935.91467779,50,23.4544085935
V11,Z2,V11after_20240502_tanto_tanto_02_mono.wav,106868,52,372,52,1.6037753715,52,12.578528,52,1.0930085,52,17.7687403347,52,-18.6414474333,52,1857.66764999,43,13.063079413
V12,Z1,V12before_20170508_tanto_tanto_02_mono.wav,92689,45,529,45,4.068072692,45,11.4344,45,1.013138,45,14.3371768945,45,-22.211009112,45,1572.04762852,23,13.690961075
V12,Z2,V12after_20190408_tanto_tanto_02_mono.wav,81380,39,1508,39,3.672181001,39,11.136546,39,1.904199,39,12.8073374838,39,-22.4430823913,39,1442.80667459,29,8.00483430272
V13,Z1,V13before_20170508_tanto_tanto_02_mono.wav,87006,42,990,42,-4.1568987875,42,11.70283,42,-4.9515515,42,20.834103656,42,-18.4940047183,42,1883.76364821,34,20.8384641314
V13,Z2,V13after_20190409_tanto_tanto_02_mono.wav,90728,44,616,44,-1.12056428,44,11.70643,44,-2.2817755,44,22.0379046966,44,-17.0992091385,44,1801.8371024,32,13.125440998
