Metric,Subject,Occasion,ReferenceSubject,ReferenceOccasion,PathIndex,PathLength,NormalizedPathPosition,ReferenceOriginalFrameIndex,ReferenceValidFrameIndex,ReferenceNormalizedFramePosition,ReferenceValue,TargetOriginalFrameIndex,TargetValidFrameIndex,TargetNormalizedFramePosition,TargetValue,LocalAbsoluteCost,Comparison_DTWnorm
SFR,E01,Z1,M2025,REF,26,73,0.361111111111,24,24,0.400000000000,13.136850996573,13,13,0.342105263158,17.358976429974,4.222125433401,2.828649647035
SFR,E01,Z1,M2025,REF,27,73,0.375000000000,25,25,0.416666666667,25.402761559992,14,14,0.368421052632,26.498245467984,1.095483907992,2.828649647035
SFR,E01,Z1,M2025,REF,28,73,0.388888888889,25,25,0.416666666667,25.402761559992,15,15,0.394736842105,25.335605437562,0.067156122429,2.828649647035
SFR,E01,Z1,M2025,REF,29,73,0.402777777778,25,25,0.416666666667,25.402761559992,16,16,0.421052631579,27.755399865853,2.352638305861,2.828649647035
SFR,E01,Z1,M2025,REF,30,73,0.416666666667,25,25,0.416666666667,25.402761559992,17,17,0.447368421053,31.493825601805,6.091064041814,2.828649647035
SFR,E01,Z1,M2025,REF,31,73,0.430555555556,25,25,0.416666666667,25.402761559992,18,18,0.473684210526,22.352240149527,3.050521410464,2.828649647035
SFR,E01,Z1,M2025,REF,32,73,0.444444444444,25,25,0.416666666667,25.402761559992,19,19,0.500000000000,26.268813529099,0.866051969108,2.828649647035
SFR,E01,Z1,M2025,REF,33,73,0.458333333333,25,25,0.416666666667,25.402761559992,20,20,0.526315789474,23.727492760365,1.675268799627,2.828649647035
SFR,E01,Z1,M2025,REF,34,73,0.472222222222,26,26,0.433333333333,17.884583064766,21,21,0.552631578947,18.224945359770,0.340362295004,2.828649647035
SFR,E01,Z1,M2025,REF,35,73,0.486111111111,27,27,0.450000000000,15.812707181010,21,21,0.552631578947,18.224945359770,2.412238178760,2.828649647035
SFR,E01,Z1,M2025,REF,36,73,0.500000000000,28,28,0.466666666667,16.584392472260,22,22,0.578947368421,8.070043294497,8.514349177764,2.828649647035
SFR,E01,Z1,M2025,REF,37,73,0.513888888889,29,29,0.483333333333,24.083574632173,23,23,0.605263157895,21.736676116252,2.346898515921,2.828649647035
SFR,E01,Z1,M2025,REF,38,73,0.527777777778,30,30,0.500000000000,21.558652344305,23,23,0.605263157895,21.736676116252,0.178023771947,2.828649647035
SFR,E01,Z1,M2025,REF,39,73,0.541666666667,31,31,0.516666666667,15.901996317359,23,23,0.605263157895,21.736676116252,5.834679798893,2.828649647035
SFR,E01,Z1,M2025,REF,40,73,0.555555555556,32,32,0.533333333333,22.099005446027,23,23,0.605263157895,21.736676116252,0.362329329775,2.828649647035
SFR,E01,Z1,M2025,REF,41,73,0.569444444444,33,33,0.550000000000,20.518662009335,24,24,0.631578947368,20.788336346046,0.269674336712,2.828649647035
SFR,E01,Z1,M2025,REF,42,73,0.583333333333,34,34,0.566666666667,23.768366875636,25,25,0.657894736842,24.387942119967,0.619575244331,2.828649647035
SFR,E01,Z1,M2025,REF,43,73,0.597222222222,35,35,0.583333333333,17.994766100830,26,26,0.684210526316,17.887995248647,0.106770852183,2.828649647035
SFR,E01,Z1,M2025,REF,44,73,0.611111111111,36,36,0.600000000000,14.272820943267,27,27,0.710526315789,17.300266385487,3.027445442220,2.828649647035
SFR,E01,Z1,M2025,REF,45,73,0.625000000000,37,37,0.616666666667,10.151540881743,28,28,0.736842105263,10.014531575920,0.137009305823,2.828649647035
SFR,E01,Z1,M2025,REF,46,73,0.638888888889,38,38,0.633333333333,7.496863617742,28,28,0.736842105263,10.014531575920,2.517667958178,2.828649647035
SFR,E01,Z1,M2025,REF,47,73,0.652777777778,39,39,0.650000000000,8.877685585740,28,28,0.736842105263,10.014531575920,1.136845990180,2.828649647035
SFR,E01,Z1,M2025,REF,48,73,0.666666666667,40,40,0.666666666667,9.130678798129,28,28,0.736842105263,10.014531575920,0.883852777791,2.828649647035
SFR,E01,Z1,M2025,REF,49,73,0.680555555556,41,41,0.683333333333,9.958936706168,28,28,0.736842105263,10.014531575920,0.055594869752,2.828649647035
