input_file,sampling_rate_hz,duration_s,frame_size_samples,hop_size_samples,n_frames,n_short_frames,low_band_hz,high_band_hz,alpha_definition,median_alpha_ratio_db,mean_alpha_ratio_db,sd_alpha_ratio_db,min_alpha_ratio_db,max_alpha_ratio_db,framewise_csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05after_20240502_tanto_tanto_02_mono.wav,44100,2.182675737,2048,2048,47,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-2.192674807,-0.6431490055,8.034836344,-14.15045823,18.22107566,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V05after_20240502_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05before_20220420_tanto_tanto_02_mono.wav,44100,2.182675737,2048,2048,47,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-3.703497215,-2.033868814,7.66073001,-17.18979441,14.64588777,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V05before_20220420_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06after_20240618_tanto_tanto_02_mono.wav,44100,2.275555556,2048,2048,49,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-0.7155351566,2.886566483,10.93815074,-15.9919554,29.48195666,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V06after_20240618_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06before_20220530_tanto_tanto_02_mono.wav,44100,3.529433107,2048,2048,76,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),3.749169947,5.174760234,10.09650639,-18.04255985,26.29370875,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V06before_20220530_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07after_20200629_tnto_tanto_02_mono.wav,44100,2.461315193,2048,2048,53,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),5.76861815,5.899050962,5.770123002,-2.92128167,25.34430961,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V07after_20200629_tnto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07before_20180730_tanto_tanto_02_mono.wav,44100,2.461315193,2048,2048,53,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),1.975805377,2.508680254,4.831707899,-5.071910703,13.03929999,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V07before_20180730_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08after_20240422_tanto_tanto_02_mono.wav,44100,2.229115646,2048,2048,48,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),2.649254524,6.289385316,11.10445789,-14.21829703,30.97870019,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V08after_20240422_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08before_20220420_tanto_tanto_01_mono.wav,44100,2.136235828,2048,2048,46,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-1.529887609,3.231528519,10.94794701,-11.0814539,27.41297192,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V08before_20220420_tanto_tanto_01_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09after_20190508_tanto_tanto_02_mono.wav,44100,3.157913832,2048,2048,68,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),1.837232834,4.663781548,12.04400327,-20.0667608,31.65328176,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V09after_20190508_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09before_20170526_tanto_tanto_02_mono.wav,44100,2.879274376,2048,2048,62,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-3.821808819,2.351411417,12.8531955,-16.40745751,31.51535495,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V09before_20170526_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10after_20240501_tanto_tanto_02_mono.wav,44100,2.136235828,2048,2048,46,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-7.158516838,-5.376321339,7.132879577,-18.88319354,12.10158275,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V10after_20240501_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10before_20220420_tanto_tanto_02_mono.wav,44100,2.089795918,2048,2048,45,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),2.000148138,0.9293163211,6.390782618,-18.14541031,10.93652359,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V10before_20220420_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V11after_20240502_tanto_tanto_02_mono.wav,44100,2.414875283,2048,2048,52,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),1.603775371,1.806513712,8.713209161,-14.31582085,19.519446,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V11after_20240502_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V11before_20220420_tanto_tanto_02_mono.wav,44100,2.414875283,2048,2048,52,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),1.402413128,2.160910787,5.91161309,-15.02153464,13.87192469,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V11before_20220420_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V12after_20190408_tanto_tanto_02_mono.wav,44100,1.811156463,2048,2048,39,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),3.672181001,5.793999383,7.067190204,-7.946466084,21.01663865,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V12after_20190408_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V12before_20170508_tanto_tanto_02_mono.wav,44100,2.089795918,2048,2048,45,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),4.068072692,4.720138417,9.295448281,-8.809445648,25.95195998,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V12before_20170508_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V13after_20190409_tanto_tanto_02_mono.wav,44100,2.043356009,2048,2048,44,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-1.12056428,1.979583042,9.393712628,-11.21590484,22.77626704,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V13after_20190409_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V13before_20170508_tanto_tanto_02_mono.wav,44100,1.95047619,2048,2048,42,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-4.156898787,0.6735190519,11.69152487,-14.0949937,24.82314636,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V13before_20170508_tanto_tanto_02_mono_alpha_ratio_framewise.csv
