input_file,sampling_rate_hz,duration_s,frame_size_samples,hop_size_samples,fft_size_samples,n_frames_total,n_valid_h1h2_frames,n_valid_corrected_frames,n_corrected_warning_frames,n_h2_above_f1_warning_frames,median_h1_minus_h2_db,mean_h1_minus_h2_db,sd_h1_minus_h2_db,median_h1_star_minus_h2_star_db,mean_h1_star_minus_h2_star_db,sd_h1_star_minus_h2_star_db,framewise_csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07before_20180730_tanto_tanto_02_mono.wav,44100,2.461315,2048,2048,2048,53,53,0,0,0,0.775649,2.178751,7.431706,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V07before_20180730_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08after_20240422_tanto_tanto_02_mono.wav,44100,2.229116,2048,2048,2048,48,47,0,0,0,3.421970,8.359827,17.254687,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V08after_20240422_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08before_20220420_tanto_tanto_01_mono.wav,44100,2.136236,2048,2048,2048,46,46,0,0,0,0.559465,0.663387,6.972057,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V08before_20220420_tanto_tanto_01_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09after_20190508_tanto_tanto_02_mono.wav,44100,3.157914,2048,2048,2048,68,68,0,0,0,-0.733818,1.444006,12.886384,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V09after_20190508_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09before_20170526_tanto_tanto_02_mono.wav,44100,2.879274,2048,2048,2048,62,62,0,0,0,-4.300509,-3.147653,5.660553,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V09before_20170526_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10after_20240501_tanto_tanto_02_mono.wav,44100,2.136236,2048,2048,2048,46,46,0,0,0,-6.885701,-4.508018,8.280686,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V10after_20240501_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10before_20220420_tanto_tanto_02_mono.wav,44100,2.089796,2048,2048,2048,45,44,0,0,0,0.116712,-0.360789,7.191824,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V10before_20220420_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V11after_20240502_tanto_tanto_02_mono.wav,44100,2.414875,2048,2048,2048,52,52,0,0,0,1.093009,-0.373481,6.496000,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V11after_20240502_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V11before_20220420_tanto_tanto_02_mono.wav,44100,2.414875,2048,2048,2048,52,52,0,0,0,0.646796,3.022678,9.083260,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V11before_20220420_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V12after_20190408_tanto_tanto_02_mono.wav,44100,1.811156,2048,2048,2048,39,39,0,0,0,1.904199,2.156089,6.236075,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V12after_20190408_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V12before_20170508_tanto_tanto_02_mono.wav,44100,2.089796,2048,2048,2048,45,45,0,0,0,1.013138,2.699055,8.870673,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V12before_20170508_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V13after_20190409_tanto_tanto_02_mono.wav,44100,2.043356,2048,2048,2048,44,44,0,0,0,-2.281775,-0.108761,11.093548,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V13after_20190409_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V13before_20170508_tanto_tanto_02_mono.wav,44100,1.950476,2048,2048,2048,42,42,0,0,0,-4.951552,-0.684930,12.798935,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V13before_20170508_tanto_tanto_02_mono_h1_h2_framewise.csv
