file,path,sampling_rate_hz,duration_s,frame_size_samples,hop_size_samples,n_fft,frame_duration_ms,method,low_band_hz,high_band_hz,n_frames_total,n_frames_included,median_spr_db,mean_spr_db,sd_spr_db,min_spr_db,max_spr_db,framewise_csv
V05after_20240502_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05after_20240502_tanto_tanto_02_mono.wav,44100,2.182675736961451,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,47,47,-15.708613637791304,-16.827665436344585,6.681306695308397,-36.15343092563465,-4.474819195461872,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V05after_20240502_tanto_tanto_02_mono_spr_framewise.csv
V05before_20220420_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05before_20220420_tanto_tanto_02_mono.wav,44100,2.182675736961451,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,47,47,-11.694685568779466,-13.165757563207837,6.336562010378188,-38.48832612838712,-4.617694318564396,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V05before_20220420_tanto_tanto_02_mono_spr_framewise.csv
V06after_20240618_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06after_20240618_tanto_tanto_02_mono.wav,44100,2.2755555555555556,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,49,49,-21.650151046989535,-22.410705028237373,5.748703203279271,-37.61884227125295,-10.042433576403674,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V06after_20240618_tanto_tanto_02_mono_spr_framewise.csv
V06before_20220530_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06before_20220530_tanto_tanto_02_mono.wav,44100,3.5294331065759637,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,76,76,-24.327107606745123,-23.881848281838074,5.479289726485067,-35.69446037319244,-10.260769755318012,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V06before_20220530_tanto_tanto_02_mono_spr_framewise.csv
V07after_20200629_tnto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07after_20200629_tnto_tanto_02_mono.wav,44100,2.461315192743764,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,53,53,-18.602439040903672,-18.403311237955876,5.899939142673456,-36.855331066428356,-5.688866730357621,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V07after_20200629_tnto_tanto_02_mono_spr_framewise.csv
V07before_20180730_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07before_20180730_tanto_tanto_02_mono.wav,44100,2.461315192743764,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,53,53,-12.488566819079574,-12.79480951225744,5.501867988768896,-25.478194165974898,-3.719059008135877,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V07before_20180730_tanto_tanto_02_mono_spr_framewise.csv
V08after_20240422_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08after_20240422_tanto_tanto_02_mono.wav,44100,2.2291156462585033,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,48,48,-16.869265130800613,-18.331363921384654,9.53025506591246,-39.00403619555692,-0.279733341527932,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V08after_20240422_tanto_tanto_02_mono_spr_framewise.csv
V08before_20220420_tanto_tanto_01_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08before_20220420_tanto_tanto_01_mono.wav,44100,2.136235827664399,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,46,46,-7.767158135218562,-11.630674997917186,10.858558994227685,-38.07817683726854,3.2501432967260246,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V08before_20220420_tanto_tanto_01_mono_spr_framewise.csv
V09after_20190508_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09after_20190508_tanto_tanto_02_mono.wav,44100,3.1579138321995464,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,68,68,-19.532858754795253,-20.621774691018544,6.12049119339856,-39.83627089155426,-10.471234180090612,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V09after_20190508_tanto_tanto_02_mono_spr_framewise.csv
V09before_20170526_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09before_20170526_tanto_tanto_02_mono.wav,44100,2.8792743764172335,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,62,62,-28.201015119003692,-27.46078684109583,6.981148534712525,-43.62148069646451,-8.352340953861605,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V09before_20170526_tanto_tanto_02_mono_spr_framewise.csv
V10after_20240501_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10after_20240501_tanto_tanto_02_mono.wav,44100,2.136235827664399,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,46,46,-21.423730231682015,-21.8124074504394,7.5233238338014035,-35.692171906836506,-2.8712805617917194,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V10after_20240501_tanto_tanto_02_mono_spr_framewise.csv
V10before_20220420_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10before_20220420_tanto_tanto_02_mono.wav,44100,2.089795918367347,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,45,45,-21.374995540450648,-21.81920454465625,10.077637582191034,-41.52889208447195,-6.18973521318201,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V10before_20220420_tanto_tanto_02_mono_spr_framewise.csv
V11after_20240502_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V11after_20240502_tanto_tanto_02_mono.wav,44100,2.414875283446712,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,52,52,-18.641447433332296,-19.604092687523597,5.5355761627488205,-33.57534069222329,-11.154664473921496,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V11after_20240502_tanto_tanto_02_mono_spr_framewise.csv
V11before_20220420_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V11before_20220420_tanto_tanto_02_mono.wav,44100,2.414875283446712,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,52,52,-16.748171671480634,-16.952268614301367,4.9385038293230314,-29.093313284561848,-6.739789768485841,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V11before_20220420_tanto_tanto_02_mono_spr_framewise.csv
V12after_20190408_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V12after_20190408_tanto_tanto_02_mono.wav,44100,1.811156462585034,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,39,39,-22.44308239125752,-23.5158003918248,5.186030145582831,-36.64417525595838,-15.552302731563417,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V12after_20190408_tanto_tanto_02_mono_spr_framewise.csv
V12before_20170508_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V12before_20170508_tanto_tanto_02_mono.wav,44100,2.089795918367347,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,45,45,-22.211009111979504,-22.708966127248775,6.719214312113307,-42.505561708484834,-10.285189323628995,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V12before_20170508_tanto_tanto_02_mono_spr_framewise.csv
V13after_20190409_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V13after_20190409_tanto_tanto_02_mono.wav,44100,2.043356009070295,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,44,44,-17.099209138482856,-18.443321180745148,7.441628352592778,-36.52949905577267,-6.225996255922973,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V13after_20190409_tanto_tanto_02_mono_spr_framewise.csv
V13before_20170508_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V13before_20170508_tanto_tanto_02_mono.wav,44100,1.9504761904761905,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,42,42,-18.49400471827506,-19.108465486130118,7.338712333210209,-38.55272472633719,-7.758106939189196,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V13before_20170508_tanto_tanto_02_mono_spr_framewise.csv
