file,status,error_message,sample_rate_hz,total_samples,duration_s,frame_size_samples,frame_duration_ms,n_frames_total,n_full_frames,n_short_frames,short_frame_indices,n_silent_frames,silent_frame_indices,n_frames_included_in_median,median_sfr_percent,mean_sfr_percent,sd_sfr_percent,min_sfr_percent,max_sfr_percent,framewise_csv,warning
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V03before_20170508_tanto_tanto_02_mono.wav,ok,,44100,124928,2.832834467,2048,46.439909,61,61,0,,0,,61,18.602440562189599,17.983820780114648,6.827725577463743,3.610460298178339,31.336625482536931,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V03before_20170508_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V04after_20200706_tanto_tanto_02_mono.wav,ok,,44100,155648,3.529433107,2048,46.439909,76,76,0,,0,,76,23.807715845368744,23.438673046297083,6.473738725175175,5.751391340453969,36.749780994364727,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V04after_20200706_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V04before_20180730_tanto_tanto_02_mono.wav,ok,,44100,102400,2.321995465,2048,46.439909,50,50,0,,0,,50,26.862874218461528,26.647873322355043,8.907002257766518,8.896906732382313,48.586892970282832,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V04before_20180730_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05after_20240502_tanto_tanto_02_mono.wav,ok,,44100,96256,2.182675737,2048,46.439909,47,47,0,,0,,47,22.587178444561367,22.586013756646196,7.766351231945364,4.159171452016261,38.325397448435318,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V05after_20240502_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05before_20220420_tanto_tanto_02_mono.wav,ok,,44100,96256,2.182675737,2048,46.439909,47,47,0,,0,,47,29.961387156225456,29.099270747824800,8.815722185914430,5.332633040083224,47.601273984079228,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V05before_20220420_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06after_20240618_tanto_tanto_02_mono.wav,ok,,44100,100352,2.275555556,2048,46.439909,49,49,0,,0,,49,13.199109606438384,13.664907706607430,5.561643935348479,3.756852844862311,31.126320371635792,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V06after_20240618_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06before_20220530_tanto_tanto_02_mono.wav,ok,,44100,155648,3.529433107,2048,46.439909,76,76,0,,0,,76,10.235994725622350,10.873889420332775,4.453230761784372,3.902709107635331,23.213162745988985,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V06before_20220530_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07after_20200629_tnto_tanto_02_mono.wav,ok,,44100,108544,2.461315193,2048,46.439909,53,53,0,,0,,53,19.285043657584538,18.991300377408681,6.100065704473577,4.574545133110517,33.725862786270547,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V07after_20200629_tnto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07before_20180730_tanto_tanto_02_mono.wav,ok,,44100,108544,2.461315193,2048,46.439909,53,53,0,,0,,53,27.298302286119913,26.192654866869152,7.344913496087614,9.608475499362539,42.869488553898954,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V07before_20180730_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08after_20240422_tanto_tanto_02_mono.wav,ok,,44100,98304,2.229115646,2048,46.439909,48,48,0,,0,,48,18.187153597895310,18.827407155837417,8.767804815515985,2.552441327974621,38.568326480432177,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V08after_20240422_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08before_20220420_tanto_tanto_01_mono.wav,ok,,44100,94208,2.136235828,2048,46.439909,46,46,0,,0,,46,32.976974752257135,30.673713619519656,15.698628259952581,5.162521033893355,58.055663974004226,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V08before_20220420_tanto_tanto_01_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09after_20190508_tanto_tanto_02_mono.wav,ok,,44100,139264,3.157913832,2048,46.439909,68,68,0,,0,,68,14.910177377912053,15.437747953202294,5.526994798877761,3.567378594089651,26.430286682829898,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V09after_20190508_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09before_20170526_tanto_tanto_02_mono.wav,ok,,44100,126976,2.879274376,2048,46.439909,62,62,0,,0,,62,6.979459512133454,8.866059022714870,5.438044800810241,2.007182707103104,28.637712656934141,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V09before_20170526_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10after_20240501_tanto_tanto_02_mono.wav,ok,,44100,94208,2.136235828,2048,46.439909,46,46,0,,0,,46,13.120900892942664,14.930998707116176,8.478836907099868,4.525216431673065,38.345246354133380,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V10after_20240501_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10before_20220420_tanto_tanto_02_mono.wav,ok,,44100,92160,2.089795918,2048,46.439909,45,45,0,,0,,45,11.924128998227795,17.124015808417518,13.956425486047067,2.608352561095904,46.601962640601961,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V10before_20220420_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V11after_20240502_tanto_tanto_02_mono.wav,ok,,44100,106496,2.414875283,2048,46.439909,52,52,0,,0,,52,17.768740334699071,18.943527650953712,7.279531564728414,4.055916317115424,33.964382236615812,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V11after_20240502_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V11before_20220420_tanto_tanto_02_mono.wav,ok,,44100,106496,2.414875283,2048,46.439909,52,52,0,,0,,52,19.838212672060440,21.690326366628771,8.938838996149704,6.995678895814442,40.046464569432871,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V11before_20220420_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V12after_20190408_tanto_tanto_02_mono.wav,ok,,44100,79872,1.811156463,2048,46.439909,39,39,0,,0,,39,12.807337483797886,12.684796825930428,5.373719656670631,3.407032168264772,27.140862503509364,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V12after_20190408_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V12before_20170508_tanto_tanto_02_mono.wav,ok,,44100,92160,2.089795918,2048,46.439909,45,45,0,,0,,45,14.337176894477077,14.102553862354243,6.738089438739448,2.492303728251887,26.975527128597612,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V12before_20170508_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V13after_20190409_tanto_tanto_02_mono.wav,ok,,44100,90112,2.043356009,2048,46.439909,44,44,0,,0,,44,22.037904696595277,19.318941578260539,8.757901087265246,3.930839278010662,31.100485453301932,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V13after_20190409_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V13before_20170508_tanto_tanto_02_mono.wav,ok,,44100,86016,1.950476190,2048,46.439909,42,42,0,,0,,42,20.834103655994657,19.926446405506901,9.023644831105328,4.571984790341317,35.961215895735954,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V13before_20170508_tanto_tanto_02_mono_sfr_framewise.csv,
